company,position,jobLocation,jobStatus,createdAt
Topiclounge,Senior Financial Analyst,Emiliano Zapata,interview,2023-08-02T04:15:12Z
Yambee,Senior Financial Analyst,Wololele A,pending,2022-12-21T21:12:39Z
Zava,Graphic Designer,Xiapu,interview,2023-10-19T09:09:00Z
Yodoo,Dental Hygienist,Laojunmiao,declined,2022-12-31T05:57:45Z
Edgetag,Quality Engineer,Agogo,interview,2023-01-03T10:47:57Z
Eimbee,Marketing Assistant,Pangkungparuk,pending,2023-03-05T09:00:56Z
Yodel,Senior Cost Accountant,Turmi,declined,2023-08-09T20:32:24Z
Divape,Electrical Engineer,Sampaio,interview,2023-02-22T10:31:22Z
Eadel,Nuclear Power Engineer,Pasarkolot,pending,2023-05-27T12:55:00Z
Innotype,Administrative Officer,Dinggou,declined,2023-06-26T22:53:55Z
Browsetype,Financial Analyst,Seydi,declined,2023-08-17T06:24:53Z
Quamba,Geological Engineer,Susapaya,pending,2023-03-20T16:46:28Z
Skinder,General Manager,Zhengyangshan,declined,2023-05-15T09:41:23Z
Twimm,Administrative Officer,Beiwa,pending,2023-01-09T03:20:48Z
Youbridge,Tax Accountant,Dubrovnik,declined,2023-01-10T19:44:41Z
Skipfire,Human Resources Assistant III,Sơn Tịnh,interview,2023-06-16T07:48:17Z
Skajo,Recruiter,Delft,declined,2022-11-20T20:35:16Z
Gabspot,Financial Advisor,Anchorage,declined,2023-08-04T18:31:53Z
Babbleset,Executive Secretary,Alcanhões,interview,2023-06-16T06:19:18Z
Zoomdog,Dental Hygienist,Banī Khaddāsh,declined,2022-12-30T03:47:14Z
Wikizz,Director of Sales,Candelaria,interview,2023-05-08T13:04:42Z
Skalith,Biostatistician II,Dolno Palčište,interview,2023-02-27T11:48:07Z
Voonix,General Manager,Moñitos,interview,2023-02-11T17:26:08Z
Vimbo,Sales Associate,Mokotów,interview,2023-11-03T14:48:06Z
